ID,SMILES
SMILES_0,CCCOC(=O)c1c(C)[nH]c(C(=O)Nc2ccccc2OC)c1C
SMILES_1,CCc1c(C(=O)OC(C)C)[nH]c(C(=O)NCc2ccc(C)cc2)c1C
SMILES_2,COc1cccc(S(=O)(=O)NCc2ccccc2F)c1
SMILES_3,N#Cc1ccc(N2CCN(C(=O)c3cc4ccccc4o3)CC2)cc1
SMILES_4,O=C(NC1CCCCNC1=O)c1cc(-c2ccccc2)on1
SMILES_5,O=C(NCCCNC(=O)c1cnccn1)c1cnc2cc3c(cc2c1)OCO3
SMILES_6,CC(C)(C)C(=O)CSc1nnnn1-c1ccc(F)cc1
SMILES_7,CNC(=O)C(CC(C)C)NC(=O)C1CCCN(CC(C)(C)C)C1=O
SMILES_8,CC1CCCN(C(=O)c2cn3c4c(cccc4c2=O)CC3C)C1
SMILES_9,O=C(c1cc[nH]c1)N1CCC2(CC(OCC(F)(F)F)CO2)C1
SMILES_10,Cc1cc(=O)c2cc(NC(=O)c3ccc(Cl)cc3)ccc2[nH]1
SMILES_11,Cc1csc(N2CCN(C3CC(=O)N(C)C3c3ccccc3)C2)n1
SMILES_12,Cn1cc(C(O)c2ccsc2)cn1CCc1cccs1
SMILES_13,N#Cc1cc(NCC(=O)N2CCN(c3nccs3)CC2)ncn1
SMILES_14,CCc1cc2n(n1)CCCC2NC(=O)NC1CCN(C(C)C)CC1
SMILES_15,NS(=O)(=O)N1CCC(C(=O)NCCc2cccs2)CC1
SMILES_16,CC(=O)c1cc(CN2CCc3cc(Cl)ccc3C2)cs1
SMILES_17,C=CCNC(=O)N1CCCCC1c1ccc(C)c(Cl)c1
SMILES_18,COC(=O)c1cc(S(=O)(=O)Oc2ccccc2C#N)c(C)n1C
SMILES_19,N#Cc1c[nH]nc1-c1cccc(NC(=O)C2CCCO2)c1
SMILES_20,Cc1cc(NC(=O)c2cc(N3CCCC3=O)ccc2Cl)no1
SMILES_21,Cc1cc(N)ccc1NC(=O)CCc1cccs1
SMILES_22,NC(=O)c1ccccc1NC(=O)CCc1ccccc1Cl
SMILES_23,Cc1cc(C)nc(N2CCC(c3ncccc3Br)CC2)n1
SMILES_24,O=C(NCc1cccnc1)c1cnc2ccccc2n1
SMILES_25,CC(C)Cn1ncc(-c2nnc(-c3cccc(C(F)(F)F)c3)o2)c1=O
SMILES_26,Cc1csc(C2CCN(Cc3cnc(-c4cccs4)s3)CC2)n1
SMILES_27,Cc1cnn(CC2CCCN2C(=O)CNC(=O)OC(C)(C)C)c1
SMILES_28,Cc1nonc1NC(=O)NC1CCN(c2c(F)cccc2F)C1
SMILES_29,CC(C)(C(=O)NCC(=O)NCC(C)(C)c1ccncc1)c1ccsc1
SMILES_30,Cc1cc(S(=O)(=O)NC2CCCCC2)cc(N)c1Cl
SMILES_31,CC(C)NC(=O)c1cccc(NCc2cc(=O)n3ccccc3n2)c1
SMILES_32,Cn1ncc(-c2nccn2Cc2ccccc2C#N)c1N
SMILES_33,CC(C)c1cc(Cc2[nH]c(C(=O)N(C)c3ccccn3)cc2C)on1
SMILES_34,COc1ccc(CNC(=O)N2CCC(C(N)=O)C2)c(OC)c1
SMILES_35,COc1ccc(Cc2noc(-c3ccc(O)c(F)c3)n2)cc1
SMILES_36,Cc1cc2c(c(C(F)(F)F)c1)N(C(=O)CCn1cnnn1)CC2
SMILES_37,O=C1CCCN1c1cccc(NC(=O)c2ccccc2)c1
SMILES_38,COc1ccc(C(C)N(Cc2ccco2)C(=O)CC(C)C)cc1
SMILES_39,COc1cccc(Oc2cc(Br)c3[nH]ncc3n2)c1
SMILES_40,CC1CCN(c2cncc(-c3ccc(-n4cncn4)cc3)n2)CC1
SMILES_41,O=C(Nc1ccccc1)c1ccc(N(C2CC2)C2CC2)nc1
SMILES_42,Cc1nnc(SC(C)c2ccc(F)c(Cl)c2)n1C
SMILES_43,Cc1ccc(NC(=O)Cn2nnc(C(F)(F)F)c2C)cc1C(N)=O
SMILES_44,CC(C)c1cc(C(=O)NCCNC(=O)c2ccccc2)on1
SMILES_45,Nc1cccc(OCCOc2ccccc2Cl)c1
SMILES_46,CC1CN(Cc2ccc(Cl)cc2N)CCC(=O)O1
SMILES_47,CCC(=O)c1cc(S(=O)(=O)NC2(C#N)CCCCC2)c(C)n1C
SMILES_48,COCCCNC(=O)c1c(-c2cccc(F)c2)noc1C
SMILES_49,CCn1cc(NC(=O)c2cc3c(cc2F)NC(=O)N3)cn1
SMILES_50,Cc1cc(CNc2nc(C(=O)Nc3ccc(C)cc3)cs2)no1
SMILES_51,NC(=O)CN(CC(F)(F)F)Cc1ccccc1Cl
SMILES_52,COc1cc(N2CCN(CC3OCCO3)CC2)ncn1
SMILES_53,COCc1oc(C)c(C(=O)NCc2ccccc2)c1C#N
SMILES_54,COc1ccc(OCCNC(=O)Cc2ccsc2)c(OC)c1
SMILES_55,Cc1ccsc1CNC(=O)Cc1ccccc1F
SMILES_56,Cc1nn(CCOc2cc(Cl)cc(Cl)c2)c(C)c1N
SMILES_57,O=C(NCCCN1CCOCC1)c1ccc(N2CCOC2=O)cc1
SMILES_58,CN1CCN(c2ccccc2Br)C(=O)C1=O
SMILES_59,Cc1cc(C)n(-c2ccc(C(=O)Nc3ccccc3CN(C)C)cc2)n1
SMILES_60,Cc1csc(CCNC(=O)NC(C)(C)C)n1
SMILES_61,COCCC1CCCc2ncn(CC(=O)N3CCOCC3)c21
SMILES_62,O=C(CCCNC(=O)c1ccc(Cl)cc1)NCc1ccco1
SMILES_63,CCOc1cc2c(cc1OCC)c(=O)n(C)cn2CCC#N
SMILES_64,CC(OCC(F)(F)F)C(=O)N1CCN(C(=O)C2CCC2)CC1
SMILES_65,COc1cccc(OC)c1C(O)c1cc(C)cc(OC)c1
SMILES_66,Cc1nc(C(C)(C)C)[nH]c(=O)c1CC(=O)NC(C)(C)CO
SMILES_67,COc1cc(Nc2ccccc2Cl)c(c2cnnn2C)cc1O
SMILES_68,COC(=O)C(NC(=O)c1cc(-c2ccc3c(c2)CCC3)[nH]n1)C(C)C
SMILES_69,O=c1cc(Nc2ccccc2)ncn1CCOc1cccnc1
SMILES_70,O=C(Nc1ccc2nnc(-c3cccs3)c2c1)C1CCCO1
SMILES_71,CC(C)n1nccc1NC(=O)CNC(=O)c1cccs1
SMILES_72,CCCNC(=O)C(NC(=O)c1ccc(F)cc1)C1CC1
SMILES_73,CC(=O)N1CCC(c2noc(Cc3ccccc3)n2)CC1
SMILES_74,Cc1ccccc1C(=O)NCCCOc1ccc2c(c1)OCO2
SMILES_75,Cc1oc(C)c(-c2nc(-c3ccccn3)cn2C)c1C#N
SMILES_76,Cc1nnc(NC(=O)c2cn(-c3ccc(Cl)cc3)nn2)s1
SMILES_77,O=C(Cc1noc2ccccc12)NCc1ccc(OCC2CC2)nc1
SMILES_78,O=C(CN1CCCC1=O)N1CCC(C(=O)Nc2ccccc2)(C2CC2)C1
SMILES_79,CC(=O)N1CCCc2cc(NC(=O)c3cccc4c3OCO4)ccc21
SMILES_80,Cc1ccc(C(CO)CNc2ccccc2OC(F)F)cc1
SMILES_81,NC(=O)C1(NC(=O)Cn2cnnn2)CCCCCC1
SMILES_82,CN(Cc1ccc(F)c(F)c1)C(=O)CCOC1CCOCC1
