ID,SMILES
SMILES_0,COc1ccc(-c2nc(-c3ccc(-c4ccccc4)cc3)c(-c3ccc(F)cc3)[nH]2)cc1
SMILES_1,CC(C=CC1=C(C)CCC1(C)C)=NNc1ccccc1-c1ccccc1
SMILES_2,CC(=O)c1cn(C2CC2)nn1
SMILES_3,O=c1c(O)c(Nc2cccc(C)c2)c(C=NO)oc2ccccc12
SMILES_4,CN1CCN(C(c2ccccc2)c2cc3c(cc2F)cc(=O)c(C(=O)O)c2C42)CC1
SMILES_5,COc1ccc(C2=C(C)C(=O)N(c3cccc(C#CCCCO)c3)C2=O)cc1
SMILES_6,CCCCNC(=O)C(=O)NN=CC(C)=Cc1ccco1
SMILES_7,CCCCN(CCCC)C1CCc2c(ccc3cc(C)oc23)C1
SMILES_8,Cc1cn2c(-c3cnc(C4=NNC(=O)C4)c(F)c3)nnc2c(N2CCOCC2)c1C#N
SMILES_9,CC1(CCN)Cc2cccc(OCC(=O)O)c2C1=O
SMILES_10,O=C(NC(=Cc1cccs1)C(=O)O)c1ccc2c(c1)OCO2
SMILES_11,Cc1ncsc1C(c1cccnc1)N1CCN(C(CCNC(=O)c2ccccc2C)C(=O)O)CC1
SMILES_12,Cc1c(S(=O)(=O)Nc2ccccc2)sc2c1c(=O)oc1ccccc12
SMILES_13,CN(Cc1nc[nH]n1)C(=O)CCC(=O)Nc1ccc(C)cc1C
SMILES_14,CC(=CCc1ccc(C(=Cc2cccs2)c2ccc(O)cc2O)o1)CCC1(C)COC1=O
SMILES_15,CCC(C)(C)C(=O)Nc1sc(C#N)c(-c2ccc(S(=O)(=O)CC)cc2)c1C(=O)O
SMILES_16,COc1cccc(-c2c(C#N)c(N)nc(O)c2C#N)c1
SMILES_17,C=CCOc1ccc(C2N=C(O)N(CCCOC)C3=C2C(=O)CCC3)cc1
SMILES_18,CC(C)c1onc(-c2c(C)c(C)ccc2C)c1COc1ccc(C=CC(=O)O)c(C)c1
SMILES_19,Cc1ccc(NC(=S)Nc2ccc(CN(Cc3cccnc3)C(C)C)cc2)cc1
SMILES_20,COC(O)=C1C(COC(=O)c2ccccc2C#CCOc2ccccc2)=NC(C)=C(C#N)C1c1ccco1
SMILES_21,CN1CCN(C(=O)c2cnc3ccc(-c4ccc(-n5cnc6[nH]ccc56)c(-c5ccc6ccccc6c5)c4)nn23)CC1
SMILES_22,O=CN1C(=O)C2C3C=CC(C3)C2C1=O
SMILES_23,CC(=O)Nc1ccc(NC(=S)NC(=O)C2CC(=O)N(c3ccccc3)C2=O)cc1
SMILES_24,[O-][S]1c2ccccc2Oc2c(C)cccc21
