ID,SMILES
SMILES_0,CCCOC(=O)c1c(C)[nH]c(C(=O)Nc2ccccc2OC)c1C
SMILES_1,CCc1cc(=O)[nH]c(-c2cccc(F)c2)n1
SMILES_2,CC(N(CCC1CC1)C(=O)N1CCc2ccccc21)C1CCOC1
SMILES_3,COC1CN(C(=O)c2ccc3c(c2)OCCO3)CCO1
SMILES_4,Fc1ccc(N2CCOCC2COc2cccnc2)c(F)c1
SMILES_5,COc1ncccc1CNC(=O)CCc1csc2ncccn12
SMILES_6,Cc1nc(C2COCCN2CCN3C(C)O)ccc1C<UNK>
SMILES_7,CC(C)(C)OC(=O)NCCN1CCN(C(=O)c2ccco2)CC1
SMILES_8,Cc1nn(C)c2nc(N3CCCC(NS(C)(=O)=O)CC3)sc12
SMILES_9,CC(=O)NCCNC(=O)Nc1cc(-c2ccc3c(c2)OCCO3)ccc1F
SMILES_10,CCC(CC)C(NC(=O)C1CCCN(C(C)=O)C1)c1ncnc2ccccc12
SMILES_11,COc1ccc(C#CCNS(=O)(=O)c2ccccc2)cc1OC
SMILES_12,COc1ccc(CSc2ccc(N)cc2)cc1OC
SMILES_13,Cc1noc(N)c1CN(C)C(=O)c1ccc(C#N)cc1
SMILES_14,Cc1ccc(OC(C(=O)Nc2cccc(N3CCCC3=O)c2)C(C)C)cc1
SMILES_15,CCN(Cc1nc2ccccc2c(=O)[nH]1)C(C)CNC(N)=O
SMILES_16,COC(=O)NCC(=O)Nc1cccc(NC(=O)NCc2ccoc2)c1
SMILES_17,CCCNC(=O)NC1CCN(S(=O)(=O)c2cccc(C)c2)CC1
SMILES_18,CCCOc1ccccc1Nc1ccc(C(=O)NC)cc1
SMILES_19,CC(CNC(=O)NCCCc1nnc(C(F)(F)F)o1)c1ccccn1
SMILES_20,CCOc1cc(NC(=O)Cn2c(=O)n(C)c3ccccc32)ccc1OC
SMILES_21,N#Cc1ccc(Oc2ccc(N)cc2)c(F)c1
SMILES_22,CN(C)c1ccccc1NC(=O)Cc1c(F)cccc1<UNK><UNK>
SMILES_23,COc1ccc(C(=O)CC(C)CC(=O)Nc2cccc(F)c2)cc1
SMILES_24,O=C(NCc1ccco1)Nc1ccc2ncccc2n1
SMILES_25,O=C(c1ccc(C<UNK>)c(C<UNK>)c1F)N(C1CC1)CC1CCCCO1
SMILES_26,COc1cccc2c1OCC(Oc1ccccc1)C2
SMILES_27,CCc1ccc(-c2nc3cccnc3n2CCC(=O)N(C)C)cc1
SMILES_28,COc1ccccc1CNC(=O)NCc1ccnc(C)n1
SMILES_29,COCCCNC(=O)NC1CCN(c2c(F)cccc2F)C1=O
SMILES_30,COc1c(C<UNK>)cccc1NCC(=O)Nc1[nH]c(C)cc1C
SMILES_31,CN(Cc1cccc(O)c1)S(=O)(=O)c1cccs1
SMILES_32,Cc1ccc(C(=O)N2CCN(C(C)C(=O)OC(C)(C)C)CC2)o1
SMILES_33,CCOC(=O)CC1(C)CCN(C(=O)NCc2cc[nH]n2)CC1
SMILES_34,Cc1cc(C)c(N2CCc3c(N)n(-c4ccccc4)nn3C2)c(C)c1
SMILES_35,N#Cc1ccc(S(N)(=O)=O)cc1OCC(O)(O)c1ccccc1
SMILES_36,CCOCc1cccc(C(=O)N(CCC#N)CCC(C)C)c1
SMILES_37,Cc1nc(S(=O)(=O)NCCCCc2ccncc2)sc1C
SMILES_38,CCOc1cc(NC(=O)c2ccccc2<UNK><UNK>)ccc1OC
SMILES_39,CC(=O)N1CCN(C(=O)Cc2csc(NC(=O)CO)n2)CCC1
SMILES_40,O=C(NCCc1ccc(F)cc1)c1cnccn1
SMILES_41,NC(=O)C1CCC(NC(=O)Nc2cnn(Cc3ccccc3)c2)CC1
SMILES_42,CCOc1ccccc1NC(=O)c1cccc(O)c1
SMILES_43,Cc1ccc(F)cc1NC(=O)CN(c1nccs1)C(C)C
SMILES_44,CCOc1ccccc1-c1noc(CSc2nncs2)n1
SMILES_45,O=C(CCNC(=O)C1CC=CCC1)Nc1cccc2ccccc12
SMILES_46,CCC(NC(=O)NCCC(O)c1cccc(C)c1)c1ccsc1
SMILES_47,COc1ccc(C(=O)NC(C)C(C)c2ccc(F)cc2)cc1F
SMILES_48,CCNc1ncnc(NCc2ccc(C)cc2C)c1N
SMILES_49,O=C(CC1CCCC1)Oc1cncc2c1OCCCC2
SMILES_50,Cc1cc(C)n(CCNC(=O)c2cn(C)nc2C)c(=O)c1C(C)(C)C
SMILES_51,CN(Cc1ccccn1)C(=O)c1cc(F)cc(CNC(=O)C2CC2)c1
SMILES_52,Cc1ccc(C(=O)NCCCC(=O)NC2COc3ccccc3C2)cc1
SMILES_53,Cc1cccc(N2CCN(CCN3CCOCC3)CC2=O)c1
SMILES_54,Cc1oc(C)c(C(=O)NCc2ccccc2NC(=O)c2ccco2)c1C
SMILES_55,FC(F)N1CCN(CC(=O)NC2CC(=O)Nc3ccccc32)CC1
SMILES_56,O=C(C1CC1c1cnccn1)N1CCOC(C(F)(F)F)C1
SMILES_57,COC(=O)Cn1ccnc1S(=O)(=O)c1ccccc1
SMILES_58,CC(=O)Nc1ccc(S(=O)(=O)NCC(=O)Nc2cccc(F)c2)cc1
SMILES_59,Cc1ccccc1-n1cc(CN2CCN(c3ccccc3CO)CC2)nn1
SMILES_60,CCC1CN(S(=O)(=O)c2ccc(C(=O)OC)cc2<UNK><UNK>)CCO1
SMILES_61,COc1ccc(C2NCCc3c(C<UNK>)ccc(C<UNK>)c32)cn1
SMILES_62,Cc1occc1CN(CC(=O)NCc2ccccc2)CC(C)O1
SMILES_63,Cc1cnn(CCc2ccc(OCC(F)(F)F)cc2)c1
SMILES_64,COc1nccnc1CNC(=O)Cc1csc(-c2cccs2)n1
SMILES_65,OC(=O)NCCNC(=O)c1sccc1F
SMILES_66,Cc1cccc(NC(=O)COC(=O)COc2ccc(C)c(C)c2)c1C
SMILES_67,Cn1cnc(CNc2cnc(-c3ccccc3C<UNK>)s2)n1
SMILES_68,Cc1oncc1CN(C)C(=O)NCCc1nc(-c2ccccc2)no1
SMILES_69,Cc1n[nH]c(C)c1NCCNc1cc(C<UNK>)ccc1C<UNK>
SMILES_70,CC1CCC(N(C)c2cc(=O)n(Cc3ccccc3F)c(C<UNK>)c2)CC1
SMILES_71,CC(=O)N1CCOCC1CN(Cc2cccc(CC(C)=O)c2)C1
SMILES_72,O=C(NCCc1nnc2cccnn12)c1cc(F)cc(F)c1
SMILES_73,CCCN(CC)S(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1
SMILES_74,COc1cc(C)c(C(=O)N2CCC(C)CC2)cc1OC
SMILES_75,CCOc1c(O)cc(C(=O)NC(C)C)cc1N1CCCC1=O
SMILES_76,O=C(NCc1cnn(-c2ccc(C<UNK>)cc2)c1)c1ccncc1F
SMILES_77,CCC(C)NC(=O)NCCNC(=O)c1ccc(<UNK><UNK>)cc1
SMILES_78,CCNC(=O)COc1cccc(NC(=O)Cc2sc(C)nc2C)c1
SMILES_79,CCc1nnsc1C(=O)N(C)Cc1cc(<UNK><UNK>)cs1
SMILES_80,Cc1ccc(N2CC(c3cc(C<UNK>)c(C)cc3)CC2=O)c(O)c1
SMILES_81,CC(C)(C)C(=O)Nc1ccnc(NCCn2cccn2)c1
SMILES_82,Nc1cc(<UNK><UNK>)ccc1C(=O)NC1CC1
SMILES_83,O=C(Cc1ccco1)Nc1ccccc1-c1ccc2c(c1)OCCO2
SMILES_84,COc1cccc2ccc(C(=O)N3CCCCC3c3cnccn3)oc12
SMILES_85,O=C(C(C#N)Cc1ccccc1OCCc1cccs1)NC1CC1
SMILES_86,CNC(=O)C1CCCCN1S(=O)(=O)c1ccccc1C
SMILES_87,O=C(COC(=O)c1[nH]c(CCCc2ccccc2)n(C2CC2)n1)NC1CC1
SMILES_88,CNC(=O)c1cccc(CNC(=O)c2cccc(-n3ccnn3)c2)c1
SMILES_89,O=c1cc(CCc2ccccc2)n2ccc3c(c2n1)OCCO3
SMILES_90,Nc1ccccc1C(=O)NCCc1c(F)c(F)ccc1F
SMILES_91,CC(Cc1ccccc1F)NC(=O)C1CCCN(c2ncccn2)C1=O
SMILES_92,CN(Cc1nncs1)C(=O)c1ccc(Cc2cccc(F)c2)o1
SMILES_93,N#Cc1cc(-c2ccc(S(=O)(=O)NCC3CCOCC3)cc2)oc1C
SMILES_94,O=C(c1noc2ccccc12)N1CCCC(n2cccn2)C1
SMILES_95,CC1CN(C2CCN(Cc3cccc(C(=O)NC4CC4)n3)CC2)CCO1
SMILES_96,COc1ccc(CN(C)C(=O)c2c(N)nc3ccccn23)nc1
SMILES_97,c1cc(Cn2c(SCc3ccccc3)nc3ccccc32)ncn1
SMILES_98,Cc1ccccc1NC(=O)c1c(C)c(C)nn1-c1ccc(C<UNK>)cc1
SMILES_99,Cc1cccc(NC(=O)NCCNC(=O)c2ccnnc2)n1
