ID,SMILES
SMILES_0,N#CC(C#N)NCC1CC(c2c[nH]c3ccc(F)cc23)=NO1
SMILES_1,CCc1ccccc1N1CC(c2nc(-c3ccccc3)no2)(N(CC(=O)O)c2ccc(OC)c(OC)c2)C(C(=O)O)c2ccc(O)cc2S1(=O)=O
SMILES_2,CCc1cccc2c1C(N)=NCC(NC(=O)c1cccc([NH]c3nH]c(NCCOC(C)C)cc(=O)[nH]3)n1)2=O
SMILES_3,CCOCc1cc(=O)oc2cc(OCC(=O)N(C)C3CCCc4ccccc4C3)ccc12
SMILES_4,COc1ccccc1N1CCN(CCCCNC(=O)Cc2ccc(C)cc2)CC1
SMILES_5,CCCCCCn1c(SCC)nnc1-c1ccco1
SMILES_6,CN1CCc2c(ccc3nc(CNC4CCCOC4)[nH]c23)C1
SMILES_7,CC(C)c1cccc(C(C)C)c1Oc1nccc(-c2c(-c3ccccc3)sc3ccccc23)n1
SMILES_8,CCCC(=O)OC1C2C3(OC(c4ccccc4)(C(CC(=O)c4ccccc4)C(OCCCCCC#N)c4cccn4)c[nH]c2=CC3CC(=O)NC1O
SMILES_9,NC(C(=O)N1CCCC1Cn1cccn1)C(Cn1cncn1)(c2cc(F)cc(C(F)(F)F)c12)C(F)(F)F
SMILES_10,COc1ccc2cc1Oc1ccc(Nc3ccc(C4(C#N)CCSC4)cc3F)cc1-2
SMILES_11,NNCC(O)CC(O)c1ccc([NH](=O)[O-])c(F)c1
SMILES_12,COC(=O)c1ccc(-c2nc3ccccc3n2CCCCCn2ccc(C)nc2=O)[nH]1
SMILES_13,O=C(c1cnc2ccccc2c1)N1CCCCC1
SMILES_14,CC(=NS(=O)(=O)c1ccc(N2C(=O)C3C4CCC(C4)C3C2=O)cc1)c1ccncc1
SMILES_15,C=CCNCc1c(O)ccc2ccn(C)c12
SMILES_16,CCN(C(=O)COc1snc(C(N)=O)c1C)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
SMILES_17,Cc1ccc(NC(=O)c2ccc(S(=O)(=O)NC3CCCCC3)cc2)cc1S(N)(=O)=O
SMILES_18,Cc1ccc(C(=O)NCCc2cc(F)c(O)c(CCNC(C)Cc3ccccc3)c2)s1
SMILES_19,O=C(Nc1ccc(C2CCCCC2)nc1)c1cnc(Nc2ccccc2)[nH]1
SMILES_20,CC(C)(C)c1ccc(CC(=NO)C(=O)N2CCc3ccccc3C2)cc1
SMILES_21,Cc1cccc2c(=O)n(CC3(NS(=O)(=O)c4cccc([NH](=O)[O-])c4)CC4CCC2OC4)c3ncn3c(-c4cccc4)[nH]c3nc12
SMILES_22,COc1cccc(OCC2(CO)CCN2C(C)=O)c1
