SMILES_0,SMILES_1
Cc1c(C)c(C)c(Cn2ccnc2)c(C)c1C,Cc1cc(C)c(Cn2ccnc2)c(C)c1
CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(OC)cc2)n1,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
Nc1ccccc1-c1ccc(Cn2ccnc2)cn1,Oc1ccccc1-c1ccc(Cn2ccnc2)cn1
c1ccc(-c2ccc(Cn3ccnc3)o2)cc1,c1ccc(-c2cc(Cn3ccnc3)co2)cc1
N#Cc1cccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)c1,N#Cc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1
CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,CC(C)C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccc(Cn3ccnc3)cc2)c1
Cc1ccccc1Cn1ccnc1,c1ccc(-c2ccccc2Cn2ccnc2)cc1
N#Cc1ncccc1Cn1ccnc1,Nc1ncccc1Cn1ccnc1
COc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,CCOc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,c1cc(-c2ccc(Cn3ccnc3)cn2)ccn1
N#Cc1cccc(-c2ccc(Cn3ccnc3)cn2)c1,N#Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
c1ccc(C(CCn2ccnc2)(c2ccccc2)c2ccccc2)cc1,c1ccc(C(Cn2ccnc2)(c2ccccc2)c2ccccc2)cc1
c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccc(-c3ccccc3)s2)cc1
c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1
c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cccc2c1
c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccccc2)c1
COc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,CCOc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,CC(C)C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,CC(C)C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
Cc1ccc(Cn2ccnc2)cc1,CCc1ccc(Cn2ccnc2)cc1
Nc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,c1cc(-c2ccc(Cn3ccnc3)cn2)ccn1
CC(c1cc2c3c(c1)CCN3C(=O)CC2)(n1ccnc1)n1ccnc1,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
Fc1ccccc1-c1ccc(Cn2ccnc2)cn1,Nc1ccccc1-c1ccc(Cn2ccnc2)cn1
O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)s1,O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
Cc1cccc(Cn2ccnc2)c1,Cc1cc(C)cc(Cn2ccnc2)c1
Cc1ccc(Cn2ccnc2)cc1,c1cc(Cn2ccnc2)ccn1
O=C1CCc2cc(C(c3ccccc3S)n3ccnc3)cc3c2N1CC3,O=C1CCc2cc(C(c3ccccc3F)n3ccnc3)cc3c2N1CC3
Cc1c(C)c(C)c(Cn2cnc3ccccc32)c(C)c1C,Cc1c(O)c(C)c(Cn2cnc3ccccc32)c(C)c1C
Cc1ccc(Cn2cnc3ccccc32)cc1,Cc1cc(C)cc(Cn2cnc3ccccc32)c1
c1ccc(-c2cccc(Cn3cnc4ccccc43)c2)cc1,c1cc(-c2cccc(Cn3cnc4ccccc43)c2)ccn1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
Cc1ccc(Cn2ccnc2)cc1,c1cc(Cn2ccnc2)ccn1
c1coc(-c2ccc(Cn3ccnc3)cn2)c1,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1
